Date,Price
04-11-2021,39573.70
08-11-2021,39438.25
09-11-2021,39368.80
10-11-2021,39023.25
11-11-2021,38560.20
12-11-2021,38733.35
15-11-2021,38702.35
16-11-2021,38307.10
17-11-2021,38041.55
18-11-2021,37976.25
22-11-2021,37128.80
23-11-2021,37272.80
24-11-2021,37441.95
25-11-2021,37364.75
26-11-2021,36025.50
29-11-2021,35976.45
30-11-2021,35695.30
01-12-2021,36364.90
02-12-2021,36508.25
03-12-2021,36197.15
06-12-2021,35735.90
07-12-2021,36618.40
08-12-2021,37284.70
09-12-2021,37082.45
10-12-2021,37105.65
13-12-2021,36925.25
14-12-2021,36893.95
15-12-2021,36789.55
16-12-2021,36548.65
17-12-2021,35618.65
20-12-2021,34439.85
21-12-2021,34607.85
22-12-2021,35029.50
23-12-2021,35191.15
24-12-2021,34857.05
27-12-2021,35057.90
28-12-2021,35183.80
29-12-2021,35045.40
30-12-2021,35063.60
31-12-2021,35481.70
03-01-2022,36421.90
04-01-2022,36840.15
05-01-2022,37695.90
06-01-2022,37490.25
07-01-2022,37739.60
10-01-2022,38347.90
11-01-2022,38442.20
12-01-2022,38727.55
13-01-2022,38469.95
14-01-2022,38370.40
17-01-2022,38216.15
18-01-2022,38210.30
19-01-2022,38041.35
20-01-2022,37850.85
21-01-2022,37574.30
24-01-2022,36947.55
25-01-2022,37706.75
27-01-2022,37982.10
28-01-2022,37689.40
31-01-2022,37975.35
01-02-2022,38505.50
02-02-2022,39330.50
03-02-2022,39010.00
04-02-2022,38789.35
07-02-2022,37995.45
08-02-2022,38028.45
09-02-2022,38610.25
10-02-2022,39010.95
11-02-2022,38517.25
14-02-2022,36908.55
15-02-2022,38170.10
16-02-2022,37953.80
17-02-2022,37531.65
18-02-2022,37599.15
21-02-2022,37685.60
22-02-2022,37371.65
23-02-2022,37392.05
24-02-2022,35228.10
25-02-2022,36430.75
28-02-2022,36205.30
02-03-2022,35372.80
03-03-2022,34944.30
04-03-2022,34407.80
07-03-2022,32871.25
08-03-2022,33158.10
09-03-2022,33815.45
10-03-2022,34475.60
11-03-2022,34546.25
14-03-2022,35312.15
15-03-2022,35022.65
16-03-2022,35748.25
17-03-2022,36428.55
21-03-2022,36018.50
22-03-2022,36348.55
23-03-2022,36147.35
24-03-2022,35527.10
25-03-2022,35410.10
28-03-2022,35710.50
29-03-2022,35847.40
30-03-2022,36334.30
31-03-2022,36373.60
01-04-2022,37148.50
04-04-2022,38635.20
05-04-2022,38067.90
06-04-2022,37632.80
07-04-2022,37557.35
08-04-2022,37752.05
11-04-2022,37613.80
12-04-2022,37747.40
13-04-2022,37463.40
18-04-2022,36729.00
19-04-2022,36341.60
20-04-2022,36314.90
21-04-2022,36816.10
22-04-2022,36044.75
25-04-2022,36082.35
26-04-2022,36404.80
27-04-2022,36028.85
28-04-2022,36422.20
29-04-2022,36088.15
02-05-2022,36163.75
04-05-2022,35264.55
05-05-2022,35232.85
06-05-2022,34591.20
09-05-2022,34275.40
10-05-2022,34482.65
11-05-2022,34693.15
12-05-2022,33532.15
13-05-2022,33121.35
16-05-2022,33597.60
17-05-2022,34301.90
18-05-2022,34163.70
19-05-2022,33315.65
20-05-2022,34276.40
23-05-2022,34247.60
24-05-2022,34290.15
25-05-2022,34339.50
26-05-2022,35094.90
27-05-2022,35613.30
30-05-2022,35826.95
31-05-2022,35487.40
01-06-2022,35620.80
02-06-2022,35613.65
03-06-2022,35275.05
06-06-2022,35310.20
07-06-2022,34996.00
08-06-2022,34946.15
09-06-2022,35085.45
10-06-2022,34483.80
13-06-2022,33405.85
14-06-2022,33311.35
15-06-2022,33339.00
16-06-2022,32617.10
17-06-2022,32743.05
20-06-2022,32684.80
21-06-2022,33191.75
22-06-2022,32845.30
23-06-2022,33135.00
24-06-2022,33627.45
27-06-2022,33811.25
28-06-2022,33642.45
